	データ名	グループ属性	L*(C)	a*(C)	b*(C)
  2772 	2772 (2022/01/25 15:41:55)	SCI	70.90	-35.89	58.33
  2773 	b BS Z11	SCI	34.97	13.83	11.73
  2774 	2774 (2022/01/25 15:42:24)	SCI	34.98	13.87	11.84
  2775 	2775 (2022/01/25 15:42:33)	SCI	35.03	13.97	11.85
  2776 	2776 (2022/01/25 15:42:44)	SCI	34.95	13.91	11.85
  2777 	2777 (2022/01/25 15:42:53)	SCI	34.90	14.08	12.02
  2778 	2778 (2022/01/25 15:43:02)	SCI	34.86	14.03	12.16
  2779 	h HzB Z1	SCI	66.67	-22.63	-24.77
  2780 	2780 (2022/01/25 15:43:31)	SCI	66.65	-22.64	-24.79
  2781 	2781 (2022/01/25 15:43:40)	SCI	66.60	-22.48	-24.63
  2782 	2782 (2022/01/25 15:43:51)	SCI	66.55	-22.36	-24.72
  2783 	2783 (2022/01/25 15:44:00)	SCI	66.54	-22.35	-24.63
  2784 	2784 (2022/01/25 15:44:09)	SCI	66.74	-22.39	-24.49
  2785 	h CdYD Z1	SCI	77.00	24.89	83.67
  2786 	2786 (2022/01/25 15:44:42)	SCI	77.07	24.80	83.84
  2787 	2787 (2022/01/25 15:44:50)	SCI	76.93	24.70	83.30
  2788 	2788 (2022/01/25 15:45:01)	SCI	76.91	24.51	83.54
  2789 	2789 (2022/01/25 15:45:10)	SCI	76.97	24.47	83.68
  2790 	2790 (2022/01/25 15:45:19)	SCI	76.93	24.41	83.48
  2791 	h RU Z1	SCI	30.76	0.71	4.72
  2792 	2792 (2022/01/25 15:45:48)	SCI	30.79	0.73	4.74
  2793 	2793 (2022/01/25 15:45:57)	SCI	30.78	0.74	4.90
  2794 	2794 (2022/01/25 15:46:08)	SCI	30.75	0.69	4.68
  2795 	2795 (2022/01/25 15:46:18)	SCI	30.83	0.74	4.74
  2796 	2796 (2022/01/25 15:46:28)	SCI	30.76	0.72	4.93
  2797 	p CpB Z1	SCI	54.56	-13.69	-34.82
  2798 	2798 (2022/01/25 15:46:59)	SCI	54.59	-13.70	-34.89
  2799 	2799 (2022/01/25 15:47:08)	SCI	54.74	-13.63	-34.76
  2800 	2800 (2022/01/25 15:47:19)	SCI	54.55	-13.69	-34.91
  2801 	2801 (2022/01/25 15:47:29)	SCI	54.63	-13.68	-34.76
  2802 	2802 (2022/01/25 15:47:39)	SCI	54.72	-13.69	-34.70
  2803 	p PWEx Z1	SCI	97.09	-1.23	2.24
  2804 	2804 (2022/01/25 15:48:11)	SCI	97.07	-1.22	2.18
  2805 	2805 (2022/01/25 15:48:20)	SCI	97.03	-1.20	2.12
  2806 	2806 (2022/01/25 15:48:32)	SCI	96.79	-1.44	1.80
  2807 	2807 (2022/01/25 15:48:42)	SCI	96.76	-1.45	1.75
  2808 	2808 (2022/01/25 15:48:51)	SCI	96.41	-1.42	1.35
  2809 	h YOPN Z1	SCI	62.17	10.49	49.20
  2810 	2810 (2022/01/25 15:49:20)	SCI	62.13	10.42	49.17
  2811 	2811 (2022/01/25 15:49:29)	SCI	62.01	10.19	49.07
  2812 	2812 (2022/01/25 15:49:40)	SCI	61.84	9.76	48.55
  2813 	2813 (2022/01/25 15:49:50)	SCI	61.84	9.82	48.70
  2814 	2814 (2022/01/25 15:49:59)	SCI	61.88	9.87	48.87
  2815 	p RoV Z1	SCI	40.21	51.28	-2.71
  2816 	2816 (2022/01/25 15:50:37)	SCI	40.54	53.72	-1.41
  2817 	2817 (2022/01/25 15:50:46)	SCI	40.49	53.30	-1.56
  2818 	2818 (2022/01/25 15:50:57)	SCI	37.75	44.21	-6.41
  2819 	2819 (2022/01/25 15:51:06)	SCI	37.57	44.12	-6.48
  2820 	2820 (2022/01/25 15:51:14)	SCI	38.07	44.48	-6.21
  2821 	h ShP Z1	SCI	85.66	21.46	9.48
  2822 	2822 (2022/01/25 15:51:42)	SCI	85.53	21.51	9.45
  2823 	2823 (2022/01/25 15:51:52)	SCI	85.44	21.58	9.53
  2824 	2824 (2022/01/25 15:52:03)	SCI	85.50	20.93	9.23
  2825 	2825 (2022/01/25 15:52:13)	SCI	85.32	20.85	9.18
  2826 	2826 (2022/01/25 15:52:22)	SCI	85.33	21.01	9.30
  2827 	h PyRdT Z1	SCI	37.18	48.89	21.69
  2828 	2828 (2022/01/25 15:53:09)	SCI	37.02	48.10	21.25
  2829 	2829 (2022/01/25 15:53:19)	SCI	36.71	46.89	20.64
  2830 	2830 (2022/01/25 15:53:30)	SCI	33.03	33.98	14.44
  2831 	2831 (2022/01/25 15:53:39)	SCI	33.28	34.79	14.94
  2832 	2832 (2022/01/25 15:53:48)	SCI	33.29	34.90	15.10
  2833 	h UD Z1	SCI	25.60	20.03	-31.29
  2834 	2834 (2022/01/25 15:54:21)	SCI	25.53	17.89	-28.64
  2835 	2835 (2022/01/25 15:54:31)	SCI	25.28	14.92	-24.69
  2836 	2836 (2022/01/25 15:54:42)	SCI	25.17	9.70	-17.27
  2837 	2837 (2022/01/25 15:54:52)	SCI	25.06	8.98	-16.25
  2838 	2838 (2022/01/25 15:55:02)	SCI	24.94	8.93	-16.15
  2839 	h AC Z1	SCI	28.61	23.03	7.43
  2840 	2840 (2022/01/25 15:55:34)	SCI	28.62	23.42	7.59
  2841 	2841 (2022/01/25 15:55:43)	SCI	28.15	21.64	6.96
  2842 	2842 (2022/01/25 15:55:55)	SCI	26.44	12.28	3.83
  2843 	2843 (2022/01/25 15:56:05)	SCI	26.43	12.16	3.93
  2844 	2844 (2022/01/25 15:56:17)	SCI	26.34	12.08	3.88
  2845 	e CdGLH Z1	SCI	71.51	-34.85	64.65
  2846 	2846 (2022/01/25 15:56:49)	SCI	71.58	-35.12	64.75
  2847 	2847 (2022/01/25 15:56:59)	SCI	71.51	-34.90	64.60
  2848 	2848 (2022/01/25 15:57:10)	SCI	71.37	-34.63	64.39
  2849 	2849 (2022/01/25 15:57:20)	SCI	71.26	-34.54	64.20
  2850 	2850 (2022/01/25 15:57:29)	SCI	71.50	-34.64	64.52
  2851 	e CdRH Z1	SCI	45.54	54.19	32.93
  2852 	2852 (2022/01/25 15:58:00)	SCI	45.39	54.32	32.95
  2853 	2853 (2022/01/25 15:58:10)	SCI	45.46	54.40	33.04
  2854 	2854 (2022/01/25 15:58:22)	SCI	43.61	47.94	29.83
  2855 	2855 (2022/01/25 15:58:32)	SCI	43.59	48.02	29.73
  2856 	2856 (2022/01/25 15:58:42)	SCI	43.62	48.15	29.97
  2857 	b VmH Z1	SCI	54.32	56.52	45.56
  2858 	2858 (2022/01/25 15:59:12)	SCI	54.30	56.41	45.53
  2859 	2859 (2022/01/25 15:59:23)	SCI	54.31	56.45	45.57
